instruction,input,output
"Respond as BRIAN from ""Family Guy"" would.","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. It's our policy, sir, and I can't bend the rules to satisfy what you think is right.","Why, you..."
"Describe what happens next in ""Family Guy"".","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. It's our policy, sir, and I can't bend the rules to satisfy what you think is right.","Brian lifts his fist. Suddenly, the floor begins shaking."
"Continue the conversation in the style of ""Family Guy"".","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. It's our policy, sir, and I can't bend the rules to satisfy what you think is right.","Why, you..."
"Describe what happens next in ""Family Guy"".","Brian lifts his fist. Suddenly, the floor begins shaking. Why, you...","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious."
"Respond as BRIAN from ""Family Guy"" would.","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious. Why, you...","OH MY GOD! IT'S AN EARTHQUAKE!"
"Continue the conversation in the style of ""Family Guy"".","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious. Why, you...","OH MY GOD! IT'S AN EARTHQUAKE!"
"Respond as STEWIE from ""Family Guy"" would.","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious. OH MY GOD! IT'S AN EARTHQUAKE!","IT'S THE FLOOR, I TELL YOU! THE FLOOR! IT'S HERE!!!"
"Continue the conversation in the style of ""Family Guy"".","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious. OH MY GOD! IT'S AN EARTHQUAKE!","IT'S THE FLOOR, I TELL YOU! THE FLOOR! IT'S HERE!!!"
"Describe what happens next in ""Family Guy"".","AN EARTHQUAKE! The floor begins splitting and cracking. The ceiling wilts and tarnishes as broken beams fall to the floor. A beam falls on the THEATER USHER, knocking him unconscious. IT'S THE FLOOR, I TELL YOU! THE FLOOR! IT'S HERE!!!","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam."
"Respond as LOIS from ""Family Guy"" would.","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam. IT'S THE FLOOR, I TELL YOU! THE FLOOR! IT'S HERE!!!","LET'S GET OUT OF HERE! PETER, COME ON!"
"Continue the conversation in the style of ""Family Guy"".","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam. IT'S THE FLOOR, I TELL YOU! THE FLOOR! IT'S HERE!!!","LET'S GET OUT OF HERE! PETER, COME ON!"
"Respond as PETER from ""Family Guy"" would.","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam. LET'S GET OUT OF HERE! PETER, COME ON!","Wow. The sound here is incredible."
"Describe what happens next in ""Family Guy"".","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam. LET'S GET OUT OF HERE! PETER, COME ON!","Peter remains seated. The earthquake suddenly subsides. Everything goes quiet as the movie theater becomes empty, except for Peter. Silence. Peter remains still."
"Continue the conversation in the style of ""Family Guy"".","The movie playing on screen becomes loud as an action scene takes place. The movie theater begins to shake. The aisles split in half and the ceiling caves in. Everybody panics and runs for their lives. Lois grabs Chris and Meg's hands and pulls them to safety from a falling wooden beam. LET'S GET OUT OF HERE! PETER, COME ON!","Wow. The sound here is incredible."
"Respond as LOIS from ""Family Guy"" would.","Peter remains seated. The earthquake suddenly subsides. Everything goes quiet as the movie theater becomes empty, except for Peter. Silence. Peter remains still. Wow. The sound here is incredible.","Yes, Daddy. I'm sure I'm all right. (beat) No, Peter wasn't killed in the earthquake."
"Describe what happens next in ""Family Guy"".","Peter remains seated. The earthquake suddenly subsides. Everything goes quiet as the movie theater becomes empty, except for Peter. Silence. Peter remains still. Wow. The sound here is incredible.","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News."
"Continue the conversation in the style of ""Family Guy"".","Peter remains seated. The earthquake suddenly subsides. Everything goes quiet as the movie theater becomes empty, except for Peter. Silence. Peter remains still. Wow. The sound here is incredible.","Yes, Daddy. I'm sure I'm all right. (beat) No, Peter wasn't killed in the earthquake."
"Respond as TOM from ""Family Guy"" would.","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News. Yes, Daddy. I'm sure I'm all right. (beat) No, Peter wasn't killed in the earthquake.","A sudden and unexpected earthquake struck Quahog just last night at eight o'clock. The first of its kind since the early 1970's. Seismologists have yet to figure out if there will be any other seismic waves to cause another earthquake in the area, but it's safe to say that we're all lucky it was only a 4.0 on the Richter scale."
"Continue the conversation in the style of ""Family Guy"".","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News. Yes, Daddy. I'm sure I'm all right. (beat) No, Peter wasn't killed in the earthquake.","A sudden and unexpected earthquake struck Quahog just last night at eight o'clock. The first of its kind since the early 1970's. Seismologists have yet to figure out if there will be any other seismic waves to cause another earthquake in the area, but it's safe to say that we're all lucky it was only a 4.0 on the Richter scale."
"Respond as DIANE from ""Family Guy"" would.","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News. A sudden and unexpected earthquake struck Quahog just last night at eight o'clock. The first of its kind since the early 1970's. Seismologists have yet to figure out if there will be any other seismic waves to cause another earthquake in the area, but it's safe to say that we're all lucky it was only a 4.0 on the Richter scale.","That's right, Tom. The damage was moderate, but thank God nobody was seriously injured."
"Continue the conversation in the style of ""Family Guy"".","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News. A sudden and unexpected earthquake struck Quahog just last night at eight o'clock. The first of its kind since the early 1970's. Seismologists have yet to figure out if there will be any other seismic waves to cause another earthquake in the area, but it's safe to say that we're all lucky it was only a 4.0 on the Richter scale.","That's right, Tom. The damage was moderate, but thank God nobody was seriously injured."
"Describe what happens next in ""Family Guy"".","Lois is on the phone with her father. The rest of the Griffin family is sitting on and around the couch watching Channel 5 News. That's right, Tom. The damage was moderate, but thank God nobody was seriously injured.","The theater usher is still pinned under the broken beam that fell on him. Beams and broken pieces of wood continue to fall in the background as a result of the earthquake."
"Respond as DARK MAN from ""Family Guy"" would.","The theater usher is still pinned under the broken beam that fell on him. Beams and broken pieces of wood continue to fall in the background as a result of the earthquake. That's right, Tom. The damage was moderate, but thank God nobody was seriously injured.","Darth Vader. Rise."
"Describe what happens next in ""Family Guy"".","The theater usher is still pinned under the broken beam that fell on him. Beams and broken pieces of wood continue to fall in the background as a result of the earthquake. That's right, Tom. The damage was moderate, but thank God nobody was seriously injured.","The man under the beam isn't the same. He's now dressed in a slick outfit with a handsome black cape. On his head is a dark helmet that projects his heavily breathing voice. This is the familiar Darth Vader from the STAR WARS movies. A beam suddenly falls on him, again. Darth Vader is no more."
"Continue the conversation in the style of ""Family Guy"".","The theater usher is still pinned under the broken beam that fell on him. Beams and broken pieces of wood continue to fall in the background as a result of the earthquake. That's right, Tom. The damage was moderate, but thank God nobody was seriously injured.","Darth Vader. Rise."
"Respond as DARK MAN from ""Family Guy"" would.","The man under the beam isn't the same. He's now dressed in a slick outfit with a handsome black cape. On his head is a dark helmet that projects his heavily breathing voice. This is the familiar Darth Vader from the STAR WARS movies. A beam suddenly falls on him, again. Darth Vader is no more. Darth Vader. Rise.","Now where the hell am I going to get someone to join the Dark Side...?"
"Describe what happens next in ""Family Guy"".","The man under the beam isn't the same. He's now dressed in a slick outfit with a handsome black cape. On his head is a dark helmet that projects his heavily breathing voice. This is the familiar Darth Vader from the STAR WARS movies. A beam suddenly falls on him, again. Darth Vader is no more. Darth Vader. Rise.","The Dark Man laughs an evil laughter. A beam falls on him, too."
"Continue the conversation in the style of ""Family Guy"".","The man under the beam isn't the same. He's now dressed in a slick outfit with a handsome black cape. On his head is a dark helmet that projects his heavily breathing voice. This is the familiar Darth Vader from the STAR WARS movies. A beam suddenly falls on him, again. Darth Vader is no more. Darth Vader. Rise.","Now where the hell am I going to get someone to join the Dark Side...?"
"Describe what happens next in ""Family Guy"".","The Dark Man laughs an evil laughter. A beam falls on him, too. Now where the hell am I going to get someone to join the Dark Side...?","Peter is still watching the news. Everyone else has left."
"Respond as DIANE from ""Family Guy"" would.","Peter is still watching the news. Everyone else has left. Now where the hell am I going to get someone to join the Dark Side...?,Now we go live to Trisha Takanawa with an in depth look at the damage caused by the horrible earthquake. Trisha?"
"Continue the conversation in the style of ""Family Guy"".","Peter is still watching the news. Everyone else has left. Now where the hell am I going to get someone to join the Dark Side...?,Now we go live to Trisha Takanawa with an in depth look at the damage caused by the horrible earthquake. Trisha?"
"Respond as TRISHA from ""Family Guy"" would.",Peter is still watching the news. Everyone else has left. Now we go live to Trisha Takanawa with an in depth look at the damage caused by the horrible earthquake. Trisha?,"Thank you, Diane. I'm here in Downtown Quahog where citizens of Rhode Island are joyous to still be living today. As you can see, the earthquake did quite a lot of damage to businesses and stores on this street, and there is a crack in the road wide enough to fit two copies of Chris Farley. (beat) Oh, I see a citizen roaming the area. Let's see if I can get a word with him. Sir!"
"Continue the conversation in the style of ""Family Guy"".",Peter is still watching the news. Everyone else has left. Now we go live to Trisha Takanawa with an in depth look at the damage caused by the horrible earthquake. Trisha?,"Thank you, Diane. I'm here in Downtown Quahog where citizens of Rhode Island are joyous to still be living today. As you can see, the earthquake did quite a lot of damage to businesses and stores on this street, and there is a crack in the road wide enough to fit two copies of Chris Farley. (beat) Oh, I see a citizen roaming the area. Let's see if I can get a word with him. Sir!"
"Describe what happens next in ""Family Guy"".","Peter is still watching the news. Everyone else has left. Thank you, Diane. I'm here in Downtown Quahog where citizens of Rhode Island are joyous to still be living today. As you can see, the earthquake did quite a lot of damage to businesses and stores on this street, and there is a crack in the road wide enough to fit two copies of Chris Farley. (beat) Oh, I see a citizen roaming the area. Let's see if I can get a word with him. Sir!","Trisha approaches a man. It's QUAGMIRE!"
"Respond as PETER from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Thank you, Diane. I'm here in Downtown Quahog where citizens of Rhode Island are joyous to still be living today. As you can see, the earthquake did quite a lot of damage to businesses and stores on this street, and there is a crack in the road wide enough to fit two copies of Chris Farley. (beat) Oh, I see a citizen roaming the area. Let's see if I can get a word with him. Sir!","Hey, Lois, look! Quagmire's on the tube!"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Thank you, Diane. I'm here in Downtown Quahog where citizens of Rhode Island are joyous to still be living today. As you can see, the earthquake did quite a lot of damage to businesses and stores on this street, and there is a crack in the road wide enough to fit two copies of Chris Farley. (beat) Oh, I see a citizen roaming the area. Let's see if I can get a word with him. Sir!","Hey, Lois, look! Quagmire's on the tube!"
"Respond as TRISHA from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Hey, Lois, look! Quagmire's on the tube!","Sir, can I have a word with you?"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Hey, Lois, look! Quagmire's on the tube!","Sir, can I have a word with you?"
"Respond as QUAGMIRE from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Sir, can I have a word with you?","Sure thing. Maybe later we can do a brief featurette for the DVD. You. Me. Things falling into holes. OH!"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Sir, can I have a word with you?","Sure thing. Maybe later we can do a brief featurette for the DVD. You. Me. Things falling into holes. OH!"
"Respond as TRISHA from ""Family Guy"" would.",Trisha approaches a man. It's QUAGMIRE! Sure thing. Maybe later we can do a brief featurette for the DVD. You. Me. Things falling into holes. OH!,"Sir, what were you doing when the earthquake struck and how did you feel when it happened?"
"Continue the conversation in the style of ""Family Guy"".",Trisha approaches a man. It's QUAGMIRE! Sure thing. Maybe later we can do a brief featurette for the DVD. You. Me. Things falling into holes. OH!,"Sir, what were you doing when the earthquake struck and how did you feel when it happened?"
"Respond as QUAGMIRE from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Sir, what were you doing when the earthquake struck and how did you feel when it happened?","Well I was having sex with some chick, and the bed started shaking, and I thought it was just some good pushin', but then the whole ceiling started caving in!"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Sir, what were you doing when the earthquake struck and how did you feel when it happened?","Well I was having sex with some chick, and the bed started shaking, and I thought it was just some good pushin', but then the whole ceiling started caving in!"
"Respond as TRISHA from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Well I was having sex with some chick, and the bed started shaking, and I thought it was just some good pushin', but then the whole ceiling started caving in!","And how did you feel?"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Well I was having sex with some chick, and the bed started shaking, and I thought it was just some good pushin', but then the whole ceiling started caving in!","And how did you feel?"
"Respond as QUAGMIRE from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! And how did you feel?,Well things went from hot to cold pretty quick.  I finished up and she left."
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! And how did you feel?,Well things went from hot to cold pretty quick.  I finished up and she left."
"Respond as TRISHA from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Well things went from hot to cold pretty quick.  I finished up and she left.,Did you feel at all frightened during this experience?"
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Well things went from hot to cold pretty quick.  I finished up and she left.,Did you feel at all frightened during this experience?"
"Respond as QUAGMIRE from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! Did you feel at all frightened during this experience?,No.  She had proof that she was 18."
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! Did you feel at all frightened during this experience?,No.  She had proof that she was 18."
"Respond as PETER from ""Family Guy"" would.","Trisha approaches a man. It's QUAGMIRE! No.  She had proof that she was 18.,That Quagmire..."
"Describe what happens next in ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! No.  She had proof that she was 18.,Peter smiles."
"Continue the conversation in the style of ""Family Guy"".","Trisha approaches a man. It's QUAGMIRE! No.  She had proof that she was 18.,That Quagmire..."
"Describe what happens next in ""Family Guy"".","Peter smiles. That Quagmire...,Lois enters."
"Respond as LOIS from ""Family Guy"" would.",Lois enters. That Quagmire...,"Peter, have you seen Chris?"
"Continue the conversation in the style of ""Family Guy"".",Lois enters. That Quagmire...,"Peter, have you seen Chris?"
"Respond as PETER from ""Family Guy"" would.","Lois enters. Peter, have you seen Chris?","Yeah.  He went upstairs to do some homework."
"Continue the conversation in the style of ""Family Guy"".","Lois enters. Peter, have you seen Chris?","Yeah.  He went upstairs to do some homework."
"Respond as LOIS from ""Family Guy"" would.",Lois enters. Yeah.  He went upstairs to do some homework.,"Peter, Chris never does his homework in his room."
"Continue the conversation in the style of ""Family Guy"".",Lois enters. Yeah.  He went upstairs to do some homework.,"Peter, Chris never does his homework in his room."
"Respond as PETER from ""Family Guy"" would.","Lois enters. Peter, Chris never does his homework in his room.","What the big deal?  You should be proud.  The boy's studying at least."
"Continue the conversation in the style of ""Family Guy"".","Lois enters. Peter, Chris never does his homework in his room.","What the big deal?  You should be proud.  The boy's studying at least."
"Respond as LOIS from ""Family Guy"" would.",Lois enters. What the big deal?  You should be proud.  The boy's studying at least.,"I would be proud, Peter, but he never studies.  Period.  I'm gonna go up and see what he's doing."
"Continue the conversation in the style of ""Family Guy"".",Lois enters. What the big deal?  You should be proud.  The boy's studying at least.,"I would be proud, Peter, but he never studies.  Period.  I'm gonna go up and see what he's doing."
"Respond as PETER from ""Family Guy"" would.","Lois enters. I would be proud, Peter, but he never studies.  Period.  I'm gonna go up and see what he's doing.","No, Lois.  I'll go.  I haven't talked to Chris in a while anyway. Oh man, this is gonna be more hilarious than that time I watched Jaws."
"Continue the conversation in the style of ""Family Guy"".","Lois enters. I would be proud, Peter, but he never studies.  Period.  I'm gonna go up and see what he's doing.","No, Lois.  I'll go.  I haven't talked to Chris in a while anyway. Oh man, this is gonna be more hilarious than that time I watched Jaws."
"Respond as PETER from ""Family Guy"" would.","Lois enters. No, Lois.  I'll go.  I haven't talked to Chris in a while anyway. Oh man, this is gonna be more hilarious than that time I watched Jaws.","RUN!!"
"Describe what happens next in ""Family Guy"".","Lois enters. No, Lois.  I'll go.  I haven't talked to Chris in a while anyway. Oh man, this is gonna be more hilarious than that time I watched Jaws.","Peter is watching Jaws on an exciting and tense underwater scene."
"Continue the conversation in the style of ""Family Guy"".","Lois enters. No, Lois.  I'll go.  I haven't talked to Chris in a while anyway. Oh man, this is gonna be more hilarious than that time I watched Jaws.","RUN!!"
"Respond as PETER from ""Family Guy"" would.","Peter is watching Jaws on an exciting and tense underwater scene. RUN!!,nan"
"Describe what happens next in ""Family Guy"".","Peter is watching Jaws on an exciting and tense underwater scene. RUN!!,Peter walks into Chris's bedroom and gasps."
"Describe what happens next in ""Family Guy"".","Peter walks into Chris's bedroom and gasps. RUN!!,Chris is making out with a girl!"
"Respond as PETER from ""Family Guy"" would.","Chris is making out with a girl! RUN!!,Chris!"
"Continue the conversation in the style of ""Family Guy"".","Chris is making out with a girl! RUN!!,Chris!"
"Describe what happens next in ""Family Guy"".","Chris is making out with a girl! Chris!,Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it."
"Respond as PETER from ""Family Guy"" would.",Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris!,"Chris, who the hell was that?"
"Continue the conversation in the style of ""Family Guy"".",Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris!,"Chris, who the hell was that?"
"Respond as CHRIS from ""Family Guy"" would.","Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris, who the hell was that?","Nobody!"
"Continue the conversation in the style of ""Family Guy"".","Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris, who the hell was that?","Nobody!"
"Respond as PETER from ""Family Guy"" would.",Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Nobody!,"Chris, don't you lie to me!  I know a set of boobs when I see one!  Two boobs, I mean.  One set."
"Continue the conversation in the style of ""Family Guy"".",Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Nobody!,"Chris, don't you lie to me!  I know a set of boobs when I see one!  Two boobs, I mean.  One set."
"Respond as CHRIS from ""Family Guy"" would.","Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris, don't you lie to me!  I know a set of boobs when I see one!  Two boobs, I mean.  One set.","Okay..."
"Continue the conversation in the style of ""Family Guy"".","Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Chris, don't you lie to me!  I know a set of boobs when I see one!  Two boobs, I mean.  One set.","Okay..."
"Describe what happens next in ""Family Guy"".","Chris gasps and pushes his girlfriend out of the window.  The girl screams as her foot gets tangled up in the rope ladder hanging from it. Okay...,Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO!"
"Respond as PETER from ""Family Guy"" would.","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Okay...,Connie Demico!?  Aren't you in Meg's class!?"
"Continue the conversation in the style of ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Okay...,Connie Demico!?  Aren't you in Meg's class!?"
"Respond as CONNIE from ""Family Guy"" would.","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Connie Demico!?  Aren't you in Meg's class!?,Yeah.  But-"
"Continue the conversation in the style of ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Connie Demico!?  Aren't you in Meg's class!?,Yeah.  But-"
"Respond as PETER from ""Family Guy"" would.","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Yeah.  But-,But you're the hottest piece of ass at Meg's school!  Why are you with Chris?"
"Continue the conversation in the style of ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! Yeah.  But-,But you're the hottest piece of ass at Meg's school!  Why are you with Chris?"
"Respond as CHRIS from ""Family Guy"" would.","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! But you're the hottest piece of ass at Meg's school!  Why are you with Chris?,I met her when we all went to my Open House at school.  She has a brother that's in my grade."
"Continue the conversation in the style of ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! But you're the hottest piece of ass at Meg's school!  Why are you with Chris?,I met her when we all went to my Open House at school.  She has a brother that's in my grade."
"Respond as PETER from ""Family Guy"" would.",Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! I met her when we all went to my Open House at school.  She has a brother that's in my grade.,"ALRIGHT, SON! You do me and yourself the favor and TAP THAT ASS!"
"Continue the conversation in the style of ""Family Guy"".",Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! I met her when we all went to my Open House at school.  She has a brother that's in my grade.,"ALRIGHT, SON! You do me and yourself the favor and TAP THAT ASS!"
"Respond as PETER from ""Family Guy"" would.","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! ALRIGHT, SON! You do me and yourself the favor and TAP THAT ASS!","Chris, I still can't believe you're with Connie Freaking Demico!"
"Describe what happens next in ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! ALRIGHT, SON! You do me and yourself the favor and TAP THAT ASS!","Everyone in the family, including Connie, is sitting at the table eating."
"Continue the conversation in the style of ""Family Guy"".","Peter looks out of the window and sees the girl hanging from the rope ladder upside down.  Peter pulls the rope ladder up and the girl collapses onto Chris's bed. It's CONNIE DEMICO! ALRIGHT, SON! You do me and yourself the favor and TAP THAT ASS!","Chris, I still can't believe you're with Connie Freaking Demico!"
"Respond as CONNIE from ""Family Guy"" would.","Everyone in the family, including Connie, is sitting at the table eating. Chris, I still can't believe you're with Connie Freaking Demico!","It's really not a big deal."
"Continue the conversation in the style of ""Family Guy"".","Everyone in the family, including Connie, is sitting at the table eating. Chris, I still can't believe you're with Connie Freaking Demico!","It's really not a big deal."
"Respond as MEG from ""Family Guy"" would.","Everyone in the family, including Connie, is sitting at the table eating. It's really not a big deal.","May I be excused?"
"Continue the conversation in the style of ""Family Guy"".","Everyone in the family, including Connie, is sitting at the table eating. It's really not a big deal.","May I be excused?"
"Respond as PETER from ""Family Guy"" would.","Everyone in the family, including Connie, is sitting at the table eating. May I be excused?","Hell no you can't be excused! The chick that's tongue frenching your brother is the same one that picks on you at school!  Now you're not safe anywhere!  Man, talk about the irony!  And not that Alanis Morissette irony.  This is irony, irony."
"Continue the conversation in the style of ""Family Guy"".","Everyone in the family, including Connie, is sitting at the table eating. May I be excused?","Hell no you can't be excused! The chick that's tongue frenching your brother is the same one that picks on you at school!  Now you're not safe anywhere!  Man, talk about the irony!  And not that Alanis Morissette irony.  This is irony, irony."
"Describe what happens next in ""Family Guy"".","Everyone in the family, including Connie, is sitting at the table eating. Hell no you can't be excused! The chick that's tongue frenching your brother is the same one that picks on you at school!  Now you're not safe anywhere!  Man, talk about the irony!  And not that Alanis Morissette irony.  This is irony, irony.","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text)."
"Respond as LOIS from ""Family Guy"" would.","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). Hell no you can't be excused! The chick that's tongue frenching your brother is the same one that picks on you at school!  Now you're not safe anywhere!  Man, talk about the irony!  And not that Alanis Morissette irony.  This is irony, irony.","Chris, I'm so happy that you found someone to make you happy. And Connie, just so you know, Chris is hung like a mammoth."
"Continue the conversation in the style of ""Family Guy"".","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). Hell no you can't be excused! The chick that's tongue frenching your brother is the same one that picks on you at school!  Now you're not safe anywhere!  Man, talk about the irony!  And not that Alanis Morissette irony.  This is irony, irony.","Chris, I'm so happy that you found someone to make you happy. And Connie, just so you know, Chris is hung like a mammoth."
"Respond as BRIAN from ""Family Guy"" would.","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). Chris, I'm so happy that you found someone to make you happy. And Connie, just so you know, Chris is hung like a mammoth.","So. How long have you two been seeing each other? Is it strange being with each other knowing the age difference?"
"Continue the conversation in the style of ""Family Guy"".","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). Chris, I'm so happy that you found someone to make you happy. And Connie, just so you know, Chris is hung like a mammoth.","So. How long have you two been seeing each other? Is it strange being with each other knowing the age difference?"
"Respond as CONNIE from ""Family Guy"" would.","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). So. How long have you two been seeing each other? Is it strange being with each other knowing the age difference?","Look, we've only been together for about two weeks, and we never really thought about our age difference. It's the attraction that matters."
"Describe what happens next in ""Family Guy"".","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). So. How long have you two been seeing each other? Is it strange being with each other knowing the age difference?","She holds Chris's right hand."
"Continue the conversation in the style of ""Family Guy"".","LOIS, CHRIS, BRIAN, CONNIE, STEWIE, and MEG are presumably at the dining table (context from text). So. How long have you two been seeing each other? Is it strange being with each other knowing the age difference?","Look, we've only been together for about two weeks, and we never really thought about our age difference. It's the attraction that matters."
"Respond as LOIS from ""Family Guy"" would.","She holds Chris's right hand. Look, we've only been together for about two weeks, and we never really thought about our age difference. It's the attraction that matters.","And I'm more attracted to him than anybody else I've been with."
"Continue the conversation in the style of ""Family Guy"".","She holds Chris's right hand. Look, we've only been together for about two weeks, and we never really thought about our age difference. It's the attraction that matters.","And I'm more attracted to him than anybody else I've been with."
